,genre,enfant,transit_time,classe,WCHR,group_members,poids
1,1,0,0,0,0,"[1, 2, 3]",80
2,0,0,0,0,0,"[1, 2, 3]",70
3,1,1,0,0,0,"[1, 2, 3]",35
4,1,0,1,0,0,[4],80
5,1,0,0,0,0,"[5, 6]",80
6,0,0,0,0,0,"[5, 6]",70
7,1,0,0,0,0,"[7, 8, 9]",80
8,1,1,0,0,0,"[7, 8, 9]",35
9,1,0,0,0,1,"[7, 8, 9]",95
10,0,0,0,0,0,"[10, 11, 12]",70
11,0,0,0,0,0,"[10, 11, 12]",70
12,0,0,0,0,0,"[10, 11, 12]",70
13,1,0,0,1,0,"[13, 14]",80
14,0,0,0,1,0,"[13, 14]",70
15,1,0,1,1,0,"[15, 16]",80
16,0,0,1,1,0,"[15, 16]",70
17,1,1,0,0,0,[17],35
18,1,0,1,0,0,"[18, 19, 20, 21, 22, 23, 24]",80
19,1,0,1,0,0,"[18, 19, 20, 21, 22, 23, 24]",80
20,0,0,1,0,0,"[18, 19, 20, 21, 22, 23, 24]",70
21,0,0,1,0,0,"[18, 19, 20, 21, 22, 23, 24]",70
22,0,0,1,0,0,"[18, 19, 20, 21, 22, 23, 24]",70
23,0,0,1,0,0,"[18, 19, 20, 21, 22, 23, 24]",70
24,0,0,1,0,0,"[18, 19, 20, 21, 22, 23, 24]",70
25,0,0,0,0,0,[25],70
26,0,0,0,0,0,[26],70
27,1,0,0,0,0,"[27, 28]",80
28,1,0,0,0,0,"[27, 28]",80
29,1,0,0,0,0,[29],80
30,1,0,0,0,0,"[30, 31, 32]",80
31,1,0,0,0,0,"[30, 31, 32]",80
32,1,0,0,0,0,"[30, 31, 32]",80
33,0,0,0,0,0,"[33, 34]",70
34,0,0,0,0,0,"[33, 34]",70
35,0,0,1,0,0,[35],70
36,0,0,0,0,0,[36],70
37,1,0,0,0,0,"[37, 38]",80
38,1,1,0,0,0,"[37, 38]",35
39,1,0,0,0,0,[39],80
40,1,0,0,0,0,"[40, 41]",80
41,0,0,0,0,0,"[40, 41]",70
42,1,0,0,0,0,[42],80
43,1,0,0,0,0,[43],80
44,1,0,0,0,0,"[44, 45, 46, 47, 48]",80
45,0,0,0,0,0,"[44, 45, 46, 47, 48]",70
46,0,0,0,0,0,"[44, 45, 46, 47, 48]",70
47,0,0,0,0,0,"[44, 45, 46, 47, 48]",70
48,0,0,0,0,0,"[44, 45, 46, 47, 48]",70
49,1,0,0,0,0,"[49, 50]",80
50,0,0,0,0,0,"[49, 50]",70
51,0,0,0,0,0,"[51, 52]",70
52,0,0,0,0,0,"[51, 52]",70
53,1,0,0,1,0,[53],80
54,1,0,0,1,0,[54],80
55,1,0,1,0,0,[55],80
56,1,0,1,0,0,"[56, 57]",80
57,0,0,1,0,0,"[56, 57]",70
58,1,0,0,0,0,"[58, 59, 60, 61]",80
59,1,0,0,0,0,"[58, 59, 60, 61]",80
60,0,0,0,0,0,"[58, 59, 60, 61]",70
61,1,1,0,0,0,"[58, 59, 60, 61]",35
62,1,0,0,0,0,"[62, 63, 64, 65, 66]",80
63,1,0,0,0,0,"[62, 63, 64, 65, 66]",80
64,1,0,0,0,0,"[62, 63, 64, 65, 66]",80
65,1,0,0,0,0,"[62, 63, 64, 65, 66]",80
66,1,0,0,0,0,"[62, 63, 64, 65, 66]",80
67,1,0,0,0,0,"[67, 68, 69, 70, 71, 72]",80
68,1,0,0,0,0,"[67, 68, 69, 70, 71, 72]",80
69,1,0,0,0,0,"[67, 68, 69, 70, 71, 72]",80
70,1,0,0,0,0,"[67, 68, 69, 70, 71, 72]",80
71,1,0,0,0,0,"[67, 68, 69, 70, 71, 72]",80
72,1,0,0,0,0,"[67, 68, 69, 70, 71, 72]",80
73,1,0,1,0,0,"[73, 74]",80
74,0,0,1,0,0,"[73, 74]",70
75,1,0,0,0,0,"[75, 76]",80
76,0,0,0,0,0,"[75, 76]",70
77,0,0,1,0,0,"[77, 78]",70
78,0,0,1,0,0,"[77, 78]",70
79,1,0,0,0,0,[79],80
80,1,0,0,0,0,[80],80
81,0,0,0,0,0,"[81, 82]",70
82,1,0,0,0,1,"[81, 82]",95
83,0,0,0,0,0,"[83, 84]",70
84,1,0,0,0,1,"[83, 84]",95
85,1,0,0,0,0,[85],80
86,1,0,0,0,0,[86],80
87,0,0,0,0,0,"[87, 88, 89, 90, 91]",70
88,0,0,0,0,0,"[87, 88, 89, 90, 91]",70
89,0,0,0,0,0,"[87, 88, 89, 90, 91]",70
90,0,0,0,0,0,"[87, 88, 89, 90, 91]",70
91,0,0,0,0,0,"[87, 88, 89, 90, 91]",70
92,0,0,1,0,0,"[92, 93]",70
93,0,0,1,0,0,"[92, 93]",70
94,1,0,1,0,0,[94],80
95,1,0,0,0,0,"[95, 96, 97]",80
96,0,0,0,0,0,"[95, 96, 97]",70
97,1,1,0,0,0,"[95, 96, 97]",35
98,0,0,0,1,0,[98],70
99,0,0,0,1,0,[99],70
100,1,0,0,0,1,[100],95
101,0,0,0,1,0,[101],70
102,1,0,0,1,0,[102],80
103,0,0,0,1,0,[103],70
104,0,0,0,1,0,[104],70
