,genre,enfant,transit_time,classe,WCHR,group_members,poids
1,0,0,0,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",70
2,1,1,0,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",35
3,1,1,0,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",35
4,1,1,0,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",35
5,1,1,0,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",35
6,1,1,0,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",35
7,1,1,0,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",35
8,1,1,0,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",35
9,1,1,0,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",35
10,1,1,0,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",35
11,1,1,0,0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",35
12,1,1,0,0,0,"[12, 13, 14, 15, 16]",35
13,1,1,0,0,0,"[12, 13, 14, 15, 16]",35
14,1,1,0,0,0,"[12, 13, 14, 15, 16]",35
15,1,1,0,0,0,"[12, 13, 14, 15, 16]",35
16,1,1,0,0,0,"[12, 13, 14, 15, 16]",35
17,1,0,0,0,0,"[17, 18, 19]",80
18,1,1,0,0,0,"[17, 18, 19]",35
19,1,1,0,0,0,"[17, 18, 19]",35
20,1,1,0,0,0,[20],35
21,1,1,0,0,0,[21],35
22,1,0,0,0,0,"[22, 23, 24]",80
23,1,1,0,0,0,"[22, 23, 24]",35
24,1,1,0,0,0,"[22, 23, 24]",35
25,1,0,1,0,0,"[25, 26, 27]",80
26,1,1,1,0,0,"[25, 26, 27]",35
27,1,1,1,0,0,"[25, 26, 27]",35
28,1,1,0,0,0,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",35
29,1,1,0,0,0,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",35
30,1,1,0,0,0,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",35
31,1,1,0,0,0,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",35
32,1,1,0,0,0,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",35
33,1,1,0,0,0,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",35
34,1,1,0,0,0,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",35
35,1,1,0,0,0,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",35
36,1,1,0,0,0,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",35
37,1,1,0,0,0,"[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]",35
38,1,1,0,0,0,"[38, 39]",35
39,1,1,0,0,0,"[38, 39]",35
40,1,0,1,0,0,"[40, 41]",80
41,1,0,1,0,0,"[40, 41]",80
42,1,1,0,0,0,[42],35
43,1,0,0,0,0,[43],80
44,1,1,0,0,0,[44],35
45,1,1,0,0,0,[45],35
46,1,1,1,0,0,[46],35
47,1,1,0,0,0,[47],35
48,0,0,0,0,0,"[48, 49]",70
49,1,1,0,0,0,"[48, 49]",35
50,0,0,0,0,0,[50],70
51,1,1,0,0,0,[51],35
52,1,1,0,0,0,[52],35
53,0,0,1,0,0,"[53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69]",70
54,0,0,1,0,0,"[53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69]",70
55,1,1,1,0,0,"[53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69]",35
56,1,1,1,0,0,"[53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69]",35
57,1,1,1,0,0,"[53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69]",35
58,1,1,1,0,0,"[53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69]",35
59,1,1,1,0,0,"[53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69]",35
60,1,1,1,0,0,"[53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69]",35
61,1,1,1,0,0,"[53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69]",35
62,1,1,1,0,0,"[53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69]",35
63,1,1,1,0,0,"[53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69]",35
64,1,1,1,0,0,"[53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69]",35
65,1,1,1,0,0,"[53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69]",35
66,1,1,1,0,0,"[53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69]",35
67,1,1,1,0,0,"[53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69]",35
68,1,1,1,0,0,"[53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69]",35
69,1,1,1,0,0,"[53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69]",35
70,0,0,0,0,0,"[70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86]",70
71,0,0,0,0,0,"[70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86]",70
72,1,1,0,0,0,"[70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86]",35
73,1,1,0,0,0,"[70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86]",35
74,1,1,0,0,0,"[70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86]",35
75,1,1,0,0,0,"[70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86]",35
76,1,1,0,0,0,"[70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86]",35
77,1,1,0,0,0,"[70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86]",35
78,1,1,0,0,0,"[70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86]",35
79,1,1,0,0,0,"[70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86]",35
80,1,1,0,0,0,"[70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86]",35
81,1,1,0,0,0,"[70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86]",35
82,1,1,0,0,0,"[70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86]",35
83,1,1,0,0,0,"[70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86]",35
84,1,1,0,0,0,"[70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86]",35
85,1,1,0,0,0,"[70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86]",35
86,1,1,0,0,0,"[70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86]",35
87,1,1,1,0,0,[87],35
88,1,1,1,0,0,[88],35
89,0,0,0,0,0,[89],70
90,1,0,0,0,0,"[90, 91]",80
91,0,0,0,0,0,"[90, 91]",70
92,1,0,0,0,0,[92],80
93,1,1,0,0,0,[93],35
94,1,1,0,0,0,[94],35
95,1,0,0,0,0,[95],80
96,1,1,1,0,0,"[96, 97]",35
97,1,1,1,0,0,"[96, 97]",35
98,1,1,0,0,0,"[98, 99]",35
99,1,1,0,0,0,"[98, 99]",35
100,1,1,1,0,0,[100],35
101,1,1,0,0,0,[101],35
102,1,1,1,0,0,"[102, 103]",35
103,1,1,1,0,0,"[102, 103]",35
104,1,1,0,0,0,"[104, 105]",35
105,1,1,0,0,0,"[104, 105]",35
106,1,1,0,0,0,"[106, 107]",35
107,1,1,0,0,0,"[106, 107]",35
108,0,0,1,0,0,[108],70
109,0,0,0,0,0,[109],70
110,1,1,0,0,0,"[110, 111]",35
111,1,1,0,0,0,"[110, 111]",35
112,1,1,1,0,0,"[112, 113]",35
113,1,1,1,0,0,"[112, 113]",35
114,1,1,0,0,0,[114],35
115,1,0,0,0,0,"[115, 116]",80
